Code,Description,Abbreviation
J38.5,Laryngeal spasm Laryngismus (stridulus),LSL
J38.6,Stenosis of larynx,SL NOS
J38.7,Other diseases of larynx Abscess Cellulitis Disease NOS Necrosis of larynx Pachyderma Perichondritis Ulcer,DLA NOS
J39,Other diseases of upper respiratory tract,DUR
J39.0,Retropharyngeal and parapharyngeal abscess Peripharyngeal abscess,RPA
J39.1,Other abscess of pharynx Cellulitis of pharynx Nasopharyngeal abscess,APC
J39.2,Other diseases of pharynx Cyst of pharynx or nasopharynx Oedema,DPC
J39.3,"Upper respiratory tract hypersensitivity reaction, site unspecified",URT NOS
J39.8,Other specified diseases of upper respiratory tract,DUR
J39.9,"Disease of upper respiratory tract, unspecified Chronic lower respiratory diseases (J40–J47)",DUR NOS
J40,"Bronchitis, not specified as acute or chronic",BNA
J40–J47,Chronic lower respiratory diseases,CLR
J41,Simple and mucopurulent chronic bronchitis,SMC
J41.0,Simple chronic bronchitis,SCB
J41.1,Mucopurulent chronic bronchitis,MCB
J41.8,Mixed simple and mucopurulent chronic bronchitis,MSM
J42,Unspecified chronic bronchitis,CB NOS
J43,Emphysema,EMPH
J43.0,MacLeod’s syndrome Unilateral: • emphysema • transparency of lung,MSU
J43.1,Panlobular emphysema Panacinar emphysema,PEP
J43.2,Centrilobular emphysema,CE
J43.8,Other emphysema,EMPH
J43.9,"Emphysema, unspecified Emphysema (lung)(pulmonary): • NOS • bullous • vesicular Emphysematous bleb",EE• NOS
J44,Other chronic obstructive pulmonary disease,COPD
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,COPD
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",COPD
J44.8,Other specified chronic obstructive pulmonary disease Chronic bronchitis: • asthmatic (obstructive) NOS • emphysematous NOS • obstructive NOS,COPD
J44.9,"Chronic obstructive pulmonary disease, unspecified Chronic obstructive: • airway disease NOS • lung disease NOS",COPD
J45,Asthma,ASTH
J45.0,Predominantly allergic asthma Allergic: • bronchitis NOS • rhinitis with asthma Atopic asthma Extrinsic allergic asthma Hay fever with asthma,PAA NOS
J45.1,Nonallergic asthma Idiosyncratic asthma Intrinsic nonallergic asthma,NAI
J45.8,Mixed asthma Combination of conditions listed in J45.0 and J45.1,MAC
J45.9,"Asthma, unspecified Asthmatic bronchitis NOS Late-onset asthma",AAB NOS
J46,Status asthmaticus,SA
J47,Bronchiectasis,BRON
J60,Coalworker’s pneumoconiosis,CP
J60–J70,respiratory conditions due to external agents,RCE
J61,Pneumoconiosis due to asbestos and other mineral fibres,PAM
J62,Pneumoconiosis due to dust containing silica,PDC
J62.0,Pneumoconiosis due to talc dust,PTD
J62.8,Pneumoconiosis due to other dust containing silica Silicosis NOS,PDC NOS
J63,Pneumoconiosis due to other inorganic dusts,PID
J63.0,Aluminosis (of lung),ALUM NOS
J63.1,Bauxite fibrosis (of lung),BF
J63.2,Berylliosis,BERY
J63.3,Graphite fibrosis (of lung),GF
J63.4,Siderosis,SIDE
J63.5,Stannosis,STAN NOS
J63.8,Pneumoconiosis due to other specified inorganic dusts,PID
J64,Unspecified pneumoconiosis,PNEU NOS
J65,Pneumoconiosis associated with tuberculosis,TB
J66,Airway disease due to specific organic dust,ADS
J66.0,Byssinosis Airway disease due to cotton dust,BAD NOS
J66.1,Flax-dresser’s disease,FD
J66.2,Cannabinosis,CANN NOS
J66.8,Airway disease due to other specific organic dusts,ADS
J67,Hypersensitivity pneumonitis due to organic dust,HPO
J67.0,Farmer’s lung Harvester’s lung Haymaker’s lung Mouldy hay disease,FLH
J67.1,Bagassosis Bagasse: • disease • pneumonitis,BB•
J67.2,Bird fancier’s lung Budgerigar fancier’s disease or lung Pigeon fancier’s disease or lung,BFL
J67.3,Suberosis Corkhandler’s disease or lung Corkworker’s disease or lung,SCD
J67.4,Maltworker’s lung Alveolitis due to Aspergillus clavatus,MLA
J67.5,Mushroom-worker’s lung,ML
J67.6,Maple-bark-stripper’s lung Alveolitis due to Cryptostroma corticale Cryptostromosis,MLA
J67.7,"Air-conditioner and humidifier lung Allergic alveolitis due to fungi, thermophilic actinomycetes and other organisms growing in ventilation [air-conditioning] systems",AHL
J67.8,Hypersensitivity pneumonitis due to other organic dusts Cheese-washer’s lung Coffee-worker’s lung Fishmeal-worker’s lung Furrier’s lung Sequoiosis,HPO
J67.9,Hypersensitivity pneumonitis due to unspecified organic dust Allergic alveolitis (extrinsic) NOS Hypersensitivity pneumonitis NOS,HPO NOS
J67–J70,"pneumonitis, due to external agents",PEA
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",RCI
J68.0,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours Chemical bronchitis (acute)",BPC
J68.1,"Pulmonary oedema due to chemicals, gases, fumes and vapours Chemical pulmonary oedema (acute)",POC
J68.2,"Upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified",URI
J68.3,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours Reactive airways dysfunction syndrome",ASR
J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours Emphysema (diffuse)(chronic) Obliterative bronchiolitis (chronic) due to inhalation of chemicals, (subacute) gases, fumes and vapours Pulmonary fibrosis (chronic)",CRC
J68.8,"Other respiratory conditions due to chemicals, gases, fumes and vapours",RCC
J68.9,"Unspecified respiratory condition due to chemicals, gases, fumes and vapours",RCC NOS
J69,Pneumonitis due to solids and liquids,PSL
J69.0,Pneumonitis due to food and vomit Aspiration pneumonia (due to): • NOS • food (regurgitated) • gastric secretions • milk • vomit,PFV NOS
J69.1,Pneumonitis due to oils and essences Lipid pneumonia,POE
J69.8,Pneumonitis due to other solids and liquids Pneumonitis due to aspiration of blood,PSL
J70,Respiratory conditions due to other external agents,RCE
J70.0,Acute pulmonary manifestations due to radiation Radiation pneumonitis,APM
J70.1,Chronic and other pulmonary manifestations due to radiation Fibrosis of lung following radiation,CPM
J70.2,Acute drug-induced interstitial lung disorders,ADI
J70.3,Chronic drug-induced interstitial lung disorders,CDI
J70.4,"Drug-induced interstitial lung disorders, unspecified",DIL NOS
J70.8,Respiratory conditions due to other specified external agents,RCE
J70.9,Respiratory conditions due to unspecified external agent,RCE NOS
J80,Adult respiratory distress syndrome,ARD
J80–J84,Other respiratory diseases principally affecting the interstitium,RDP
J81,Pulmonary oedema,PO
J82,"Pulmonary eosinophilia, not elsewhere classified",PEN
J84,Other interstitial pulmonary diseases,IPD
J84.0,Alveolar and parietoalveolar conditions Alveolar proteinosis Pulmonary alveolar microlithiasis,APC NOS
J84.1,Other interstitial pulmonary diseases with fibrosis Diffuse pulmonary fibrosis Fibrosing alveolitis (cryptogenic) Hamman–Rich syndrome Idiopathic pulmonary fibrosis Usual interstitial pneumonia,IPD
J84.8,Other specified interstitial pulmonary diseases,IPD
J84.9,"Interstitial pulmonary disease, unspecified Interstitial pneumonia NOS Suppurative and necrotic conditions of lower respiratory tract (J85–J86)",IPD NOS
J85,Abscess of lung and mediastinum,ALM
J85.0,Gangrene and necrosis of lung,GNL
J85.1,Abscess of lung with pneumonia,ALP
J85.2,Abscess of lung without pneumonia Abscess of lung NOS,ALW NOS
J85.3,Abscess of mediastinum,AM
J85–J86,Suppurative and necrotic conditions of lower respiratory tract,SNC
J86,Pyothorax,PYOT
J86.0,Pyothorax with fistula,PF
J86.9,Pyothorax without fistula,PWF
J90,"Pleural effusion, not elsewhere classified",PEN
J90–J94,Other diseases of pleura,DP
J91*,Pleural effusion in conditions classified elsewhere,PEI
J92,Pleural plaque,PP
J92.0,Pleural plaque with presence of asbestos,PPP
J92.9,Pleural plaque without asbestos Pleural plaque NOS,PPW NOS
J93,Pneumothorax,PNEU
J93.0,Spontaneous tension pneumothorax,STP
J93.1,Other spontaneous pneumothorax,SP
J93.8,Other pneumothorax,PNEU
J93.9,"Pneumothorax, unspecified",PNEU NOS
J94,Other pleural conditions,PC
J94.0,Chylous effusion Chyliform effusion,CEC
J94.1,Fibrothorax,FIBR
J94.2,Haemothorax Haemopneumothorax,HH
J94.8,Other specified pleural conditions Hydrothorax,PCH
J94.9,"Pleural condition, unspecified Other diseases of the respiratory system (J95–J99)",PCD NOS
J95,"Postprocedural respiratory disorders, not elsewhere classified",PRD
J95.0,Tracheostomy malfunction Haemorrhage from tracheostomy stoma Obstruction of tracheostomy airway Sepsis of tracheostomy stoma Tracheo-oesophageal fistula following tracheostomy,TMH
J95.1,Acute pulmonary insufficiency following thoracic surgery,API
J95.2,Acute pulmonary insufficiency following nonthoracic surgery,API
J95.3,Chronic pulmonary insufficiency following surgery,CPI
J95.4,Mendelson syndrome Chemical pneumonitis due to aspiration during anesthesia,MSC
J95.5,Postprocedural subglottic stenosis,PSS NOS
J95.8,Other postprocedural respiratory disorders,PRD
J95.9,"Postprocedural respiratory disorder, unspecified",PRD NOS
J95–J99,Other diseases of the respiratory system Asterisk categories for this chapter are provided as follows:,DRS
J96,"Respiratory failure, not elsewhere classified",RFN
J96.0,Acute respiratory failure,ARF
J96.1,Chronic respiratory failure,CRF
J96.9,"Respiratory failure, unspecified",RF NOS
J98,Other respiratory disorders,RD
J98.0,"Diseases of bronchus, not elsewhere classified Broncholithiasis Calcification Stenosis of bronchus Ulcer Tracheobronchial: • collapse • dyskinesia",DBN NOS
J98.1,Pulmonary collapse Atelectasis Collapse of lung,PCA
J98.2,Interstitial emphysema Mediastinal emphysema,IEM
J98.3,Compensatory emphysema,CE
J98.4,Other disorders of lung Calcification of lung Cystic lung disease (acquired) Lung disease NOS Pulmolithiasis,DLC NOS
J98.5,"Diseases of mediastinum, not elsewhere classified Fibrosis Hernia of mediastinum Retraction Mediastinitis",DMN
J98.6,Disorders of diaphragm Diaphragmatitis Paralysis of diaphragm Relaxation of diaphragm,DDD
J98.8,Other specified respiratory disorders,RD
J98.9,"Respiratory disorder, unspecified Respiratory disease (chronic) NOS",RDR NOS
J99*,Respiratory disorders in diseases classified elsewhere,RDI
J99.0*,Rheumatoid lung disease (M05.1†),RLD
J99.1*,Respiratory disorders in other diffuse connective tissue disorders Respiratory disorders in: • dermatomyositis (M33.0–M33.1†) • polymyositis (M33.2†) • sicca syndrome [Sjögren] (M35.0†) • systemic: – lupus erythematosus (M32.1†) – sclerosis (M34.8†) • Wegener granulomatosis (M31.3†),RDI
J99.8*,Respiratory disorders in other diseases classified elsewhere Respiratory disorders in: • amoebiasis (A06.5†) • ankylosing spondylitis (M45†) • cryoglobulinaemia (D89.1†) • sporotrichosis (B42.0†) • syphilis (A52.7†),RDI
K00,Disorders of tooth development and eruption,DTD
K00.0,Anodontia Hypodontia Oligodontia,AHO
K00.1,Supernumerary teeth Distomolar Fourth molar Mesiodens Paramolar Supplementary teeth,STD
K00.2,Abnormalities of size and form of teeth Concrescence Fusion of teeth Gemination Dens: • evaginatus • in dente • invaginatus Enamel pearls Macrodontia Microdontia Peg-shaped [conical] teeth Taurodontism Tuberculum paramolare,ASF
K00.3,Mottled teeth Dental fluorosis Mottling of enamel Nonfluoride enamel opacities,MTD
K00.4,Disturbances in tooth formation Aplasia and hypoplasia of cementum,DIT
K00.5,"Hereditary disturbances in tooth structure, not elsewhere classified Amelogenesis Dentinogenesis imperfecta Odontogenesis Dentinal dysplasia Shell teeth",HDI
K00.6,Disturbances in tooth eruption Dentia praecox Natal tooth Neonatal Premature: • eruption of tooth • shedding of primary [deciduous] tooth Retained [persistent] primary tooth,DIT
K00.7,Teething syndrome,TS
K00.8,Other disorders of tooth development Colour changes during tooth formation Intrinsic staining of teeth NOS,DTD NOS
K00.9,"Disorder of tooth development, unspecified Disorder of odontogenesis NOS",DTD NOS
K00–K14,"Diseases of oral cavity, salivary glands and jaws",DOC
K01,Embedded and impacted teeth,EIT
K01.0,Embedded teeth An embedded tooth is a tooth that has failed to erupt without obstruction by another tooth.,ETA
K01.1,Impacted teeth An impacted tooth is a tooth that has failed to erupt because of obstruction by another tooth.,ITA
K02,Dental caries,DC
K02.0,Caries limited to enamel White spot lesions [initial caries],CLE
K02.1,Caries of dentine,CD
K02.2,Caries of cementum,CC
K02.3,Arrested dental caries,ADC
K02.4,Odontoclasia Infantile melanodontia Melanodontoclasia,OIM
K02.5,Caries with pulp exposure,CPE
K02.8,Other dental caries,DC
K02.9,"Dental caries, unspecified",DC NOS
K03,Other diseases of hard tissues of teeth,DHT
K03.0,Excessive attrition of teeth Wear: • approximal of teeth • occlusal,EAT
K03.1,Abrasion of teeth Abrasion: • dentifrice • habitual • occupational of teeth • ritual • traditional Wedge defect NOS,ATA NOS
K03.2,Erosion of teeth Erosion of teeth: • NOS • due to: – diet – drugs and medicaments – persistent vomiting • idiopathic • occupational,ETE NOS
K03.3,Pathological resorption of teeth Internal granuloma of pulp Resorption of teeth (external),PRT
K03.4,Hypercementosis Cementation hyperplasia,HCH
K03.5,Ankylosis of teeth,AT
K03.6,Deposits [accretions] on teeth Dental calculus: • subgingival • supragingival Deposits [accretions] on teeth: • betel • black • green • materia alba • orange • tobacco Staining of teeth: • NOS • extrinsic NOS,DOT NOS
K03.7,Posteruptive colour changes of dental hard tissues,PCC
K03.8,Other specified diseases of hard tissues of teeth Irradiated enamel Sensitive dentine,DHT
K03.9,"Disease of hard tissues of teeth, unspecified",DHT NOS
K04,Diseases of pulp and periapical tissues,DPP
K04.0,Pulpitis Pulpitis: • NOS • acute • chronic (hyperplastic)(ulcerative) • irreversible • reversible,PP• NOS
K04.1,Necrosis of pulp Pulpal gangrene,NPP
K04.2,Pulp degeneration Denticles Pulpal: • calcifications • stones,PDD
K04.3,Abnormal hard tissue formation in pulp Secondary or irregular dentine,AHT
K04.4,Acute apical periodontitis of pulpal origin Acute apical periodontitis NOS,AAP NOS
K04.5,Chronic apical periodontitis Apical or periapical granuloma Apical periodontitis NOS,CAP NOS
K04.6,Periapical abscess with sinus Dental abscess with sinus Dentoalveolar,PAS
K04.7,Periapical abscess without sinus Dental Dentoalveolar abscess NOS Periapical,PAW NOS
K04.8,Radicular cyst Cyst: apical (periodontal) periapical residual radicular,RCC
K04.9,Other and unspecified diseases of pulp and periapical tissues,DPP NOS
K05,Gingivitis and periodontal diseases,GPD
K05.0,Acute gingivitis,AG
K05.1,Chronic gingivitis Gingivitis (chronic): • NOS • desquamative • hyperplastic • simple marginal • ulcerative,CGG NOS
K05.2,Acute periodontitis Acute pericoronitis Parodontal abscess Periodontal abscess,APA
K05.3,Chronic periodontitis Chronic pericoronitis Periodontitis: • NOS • complex • simplex,CPC NOS
K05.4,Periodontosis Juvenile periodontosis,PJP
K05.5,Other periodontal diseases,PD
K05.6,"Periodontal disease, unspecified",PD NOS
K06,Other disorders of gingiva and edentulous alveolar ridge,DGE
K06.0,Gingival recession Gingival recession (generalized)(localized)(postinfective)(post-operative),GRG
K06.1,Gingival enlargement Gingival fibromatosis,GEG
K06.2,Gingival and edentulous alveolar ridge lesions associated with trauma Irritative hyperplasia of edentulous ridge [denture hyperplasia],GEA
K06.8,Other specified disorders of gingiva and edentulous alveolar ridge Fibrous epulis Flabby ridge Giant cell epulis Peripheral giant cell granuloma Pyogenic granuloma of gingiva,DGE
K06.9,"Disorder of gingiva and edentulous alveolar ridge, unspecified",DGE NOS
K07,Dentofacial anomalies [including malocclusion],DA
K07.0,"Major anomalies of jaw size Hyperplasia, hypoplasia: • mandibular • maxillary Macrognathism (mandibular)(maxillary) Micrognathism (mandibular)(maxillary)",MAJ
